Quarter ID,Quarter,Year,Continent ID,Continent,Flow ID,Flow,Petroleum ID,Petroleum,Trade Value
19931,1993-Q1,1993,af,África,1,Importaciones,1,Petroleras,0
19931,1993-Q1,1993,af,África,1,Importaciones,2,No Petroleras,32950000
19931,1993-Q1,1993,af,África,2,Exportaciones,1,Petroleras,208000
19931,1993-Q1,1993,af,África,2,Exportaciones,2,No Petroleras,2310000
19931,1993-Q1,1993,an,Antártida,1,Importaciones,1,Petroleras,0
19931,1993-Q1,1993,an,Antártida,1,Importaciones,2,No Petroleras,0
19931,1993-Q1,1993,an,Antártida,2,Exportaciones,1,Petroleras,0
19931,1993-Q1,1993,an,Antártida,2,Exportaciones,2,No Petroleras,0
19931,1993-Q1,1993,as,Asia,1,Importaciones,1,Petroleras,2472000
19931,1993-Q1,1993,as,Asia,1,Importaciones,2,No Petroleras,1520917000
19931,1993-Q1,1993,as,Asia,2,Exportaciones,1,Petroleras,148404000
19931,1993-Q1,1993,as,Asia,2,Exportaciones,2,No Petroleras,173912000
19931,1993-Q1,1993,eu,Europa,1,Importaciones,1,Petroleras,32580000
19931,1993-Q1,1993,eu,Europa,1,Importaciones,2,No Petroleras,1907392000
19931,1993-Q1,1993,eu,Europa,2,Exportaciones,1,Petroleras,332876000
19931,1993-Q1,1993,eu,Europa,2,Exportaciones,2,No Petroleras,419800000
19931,1993-Q1,1993,na,América del Norte,1,Importaciones,1,Petroleras,507143000
19931,1993-Q1,1993,na,América del Norte,1,Importaciones,2,No Petroleras,10798407000
19931,1993-Q1,1993,na,América del Norte,2,Exportaciones,1,Petroleras,1392920000
19931,1993-Q1,1993,na,América del Norte,2,Exportaciones,2,No Petroleras,8832800000
19931,1993-Q1,1993,na,América del norte,1,Importaciones,1,Petroleras,0
19931,1993-Q1,1993,na,América del norte,1,Importaciones,2,No Petroleras,844000
19931,1993-Q1,1993,na,América del norte,2,Exportaciones,1,Petroleras,0
19931,1993-Q1,1993,na,América del norte,2,Exportaciones,2,No Petroleras,75000
19931,1993-Q1,1993,oc,Oceanía,1,Importaciones,1,Petroleras,0
19931,1993-Q1,1993,oc,Oceanía,1,Importaciones,2,No Petroleras,56128000
19931,1993-Q1,1993,oc,Oceanía,2,Exportaciones,1,Petroleras,318000
19931,1993-Q1,1993,oc,Oceanía,2,Exportaciones,2,No Petroleras,12538000
19931,1993-Q1,1993,sa,América del Sur,1,Importaciones,1,Petroleras,35391000
19931,1993-Q1,1993,sa,América del Sur,1,Importaciones,2,No Petroleras,488339000
19931,1993-Q1,1993,sa,América del Sur,2,Exportaciones,1,Petroleras,48292000
19931,1993-Q1,1993,sa,América del Sur,2,Exportaciones,2,No Petroleras,404738000
19931,1993-Q1,1993,sa,Sudamerica,1,Importaciones,1,Petroleras,0
19931,1993-Q1,1993,sa,Sudamerica,1,Importaciones,2,No Petroleras,0
19931,1993-Q1,1993,sa,Sudamerica,2,Exportaciones,1,Petroleras,0
19931,1993-Q1,1993,sa,Sudamerica,2,Exportaciones,2,No Petroleras,4000
19931,1993-Q1,1993,x,S/N,1,Importaciones,1,Petroleras,0
19931,1993-Q1,1993,x,S/N,1,Importaciones,2,No Petroleras,2064000
19931,1993-Q1,1993,x,S/N,2,Exportaciones,1,Petroleras,0
19931,1993-Q1,1993,x,S/N,2,Exportaciones,2,No Petroleras,94000
19932,1993-Q2,1993,af,África,1,Importaciones,1,Petroleras,8000
19932,1993-Q2,1993,af,África,1,Importaciones,2,No Petroleras,36342000
19932,1993-Q2,1993,af,África,2,Exportaciones,1,Petroleras,164000
19932,1993-Q2,1993,af,África,2,Exportaciones,2,No Petroleras,3737000
19932,1993-Q2,1993,an,Antártida,1,Importaciones,1,Petroleras,0
19932,1993-Q2,1993,an,Antártida,1,Importaciones,2,No Petroleras,0
19932,1993-Q2,1993,an,Antártida,2,Exportaciones,1,Petroleras,0
19932,1993-Q2,1993,an,Antártida,2,Exportaciones,2,No Petroleras,0
19932,1993-Q2,1993,as,Asia,1,Importaciones,1,Petroleras,3489000
19932,1993-Q2,1993,as,Asia,1,Importaciones,2,No Petroleras,1743408000
19932,1993-Q2,1993,as,Asia,2,Exportaciones,1,Petroleras,111128000
19932,1993-Q2,1993,as,Asia,2,Exportaciones,2,No Petroleras,201385000
19932,1993-Q2,1993,eu,Europa,1,Importaciones,1,Petroleras,42269000
19932,1993-Q2,1993,eu,Europa,1,Importaciones,2,No Petroleras,2061327000
19932,1993-Q2,1993,eu,Europa,2,Exportaciones,1,Petroleras,316111000
19932,1993-Q2,1993,eu,Europa,2,Exportaciones,2,No Petroleras,419776000
19932,1993-Q2,1993,na,América del Norte,1,Importaciones,1,Petroleras,479667000
19932,1993-Q2,1993,na,América del Norte,1,Importaciones,2,No Petroleras,11344345000
19932,1993-Q2,1993,na,América del Norte,2,Exportaciones,1,Petroleras,1570995000
19932,1993-Q2,1993,na,América del Norte,2,Exportaciones,2,No Petroleras,10037518000
